SonnetID	joy	sadness	anger	fear	disgust
AgustinDeSalazarYTorres_1	1	1	0	1	0
AgustinDeSalazarYTorres_10	0	2	0	0	0
AgustinDeSalazarYTorres_11	2	1	0	1	0
AgustinDeSalazarYTorres_13	0	0	0	1	0
AgustinDeSalazarYTorres_14	1	0	0	0	0
AgustinDeSalazarYTorres_16	1	0	0	1	0
AgustinDeSalazarYTorres_17	1	0	0	0	0
AgustinDeSalazarYTorres_18	1	0	0	0	0
AgustinDeSalazarYTorres_19	3	0	0	0	0
AgustinDeSalazarYTorres_2	0	1	0	0	0
AgustinDeSalazarYTorres_22	1	0	0	0	0
AgustinDeSalazarYTorres_23	1	1	0	2	0
AgustinDeSalazarYTorres_25	0	3	0	1	0
AgustinDeSalazarYTorres_26	1	0	0	0	0
AgustinDeSalazarYTorres_27	3	1	0	1	0
AgustinDeSalazarYTorres_28	1	0	1	1	0
AgustinDeSalazarYTorres_29	1	0	0	0	0
AgustinDeSalazarYTorres_30	1	0	0	1	0
AgustinDeSalazarYTorres_5	1	1	0	1	0
AgustinDeSalazarYTorres_7	2	0	0	0	0
AgustinDeSalazarYTorres_8	0	2	0	1	0
AntonioEnriquezGomez_10	0	0	0	1	0
AntonioEnriquezGomez_11	1	0	0	0	0
AntonioEnriquezGomez_13	0	2	1	1	1
AntonioEnriquezGomez_15	2	0	0	0	0
AntonioEnriquezGomez_16	1	1	0	1	0
AntonioEnriquezGomez_17	3	0	0	0	0
AntonioEnriquezGomez_18	0	2	2	1	0
AntonioEnriquezGomez_21	0	1	0	1	0
AntonioEnriquezGomez_22	0	0	1	0	0
AntonioEnriquezGomez_23	2	0	0	0	0
AntonioEnriquezGomez_24	1	0	0	0	0
AntonioEnriquezGomez_25	1	1	0	1	0
AntonioEnriquezGomez_26	2	0	0	0	0
AntonioEnriquezGomez_27	1	0	0	0	0
AntonioEnriquezGomez_28	1	3	0	0	0
AntonioEnriquezGomez_29	2	1	0	0	0
AntonioEnriquezGomez_32	1	0	0	0	0
AntonioEnriquezGomez_33	2	0	0	0	0
AntonioEnriquezGomez_34	1	1	0	1	0
AntonioEnriquezGomez_35	3	0	0	0	0
AntonioEnriquezGomez_36	2	1	0	1	0
AntonioEnriquezGomez_38	0	1	1	0	0
AntonioEnriquezGomez_39	1	0	0	0	0
AntonioEnriquezGomez_4	2	0	0	0	0
AntonioEnriquezGomez_40	1	1	0	0	0
AntonioEnriquezGomez_5	1	0	0	0	0
AntonioEnriquezGomez_6	1	2	0	1	0
AntonioEnriquezGomez_7	1	0	0	0	0
AntonioEnriquezGomez_8	0	1	0	0	0
AntonioEnriquezGomez_9	1	0	0	0	0
AntonioHurtadoDeMendoza_10	1	1	1	1	0
AntonioHurtadoDeMendoza_11	1	0	1	0	0
AntonioHurtadoDeMendoza_13	1	0	0	0	0
AntonioHurtadoDeMendoza_2	0	1	0	0	0
AntonioHurtadoDeMendoza_3	1	0	0	0	0
AntonioHurtadoDeMendoza_4	0	0	0	1	0
