sID	_m	o0	o1	o9	s0	s1	s9	oa0	oa1	sa0	sa1	oms1	oms0	oms10	oms01	o1s1mo0s0	ov	sv	oa	sa	omsv	omsa
LuisDeUlloaYPereira_93	both	1	7		4	1	1	1	7	1	5	6	-3	3	0	3	0.6639	0.2611	0.5200	0.6837	0.4028	-0.1637
s247g_0514	both	1	7		4	1	1	1	7	1	5	6	-3	3	0	3	0.7372	0.3720	0.5996	0.6519	0.3652	-0.0523
GarcilasoDeLaVega_02	both	1	7		4	1	1		8	1	5	6	-3	3	0	3	0.6058	0.3266	0.5939	0.6818	0.2792	-0.0879
GutierreDeCetina_72	both	1	7		4	1	1		8	1	5	6	-3	3	0	3	0.6056	0.3281	0.6037	0.6845	0.2774	-0.0808
Quevedo_158	both	1	7		4	1	1		8	1	5	6	-3	3	0	3	0.7003	0.4721	0.5168	0.5816	0.2282	-0.0648
JosephDeLitalaYCastelvi_45	both	1	7		5	1			8		6	6	-4	2	0	2	0.5565	0.3291	0.4918	0.7340	0.2274	-0.2422
FernandoDeHerrera_167	both	1	7		5	1			8		6	6	-4	2	0	2	0.5452	0.3493	0.4904	0.6338	0.1960	-0.1434
FcodeBorjaYAragonPrincipeEsquilache_114	both	1	7		4	1	1	1	7	1	5	6	-3	3	0	3	0.6186	0.5083	0.4794	0.5532	0.1104	-0.0738
HernandodeAcunya_52	both	2	6		5	1			8		6	5	-3	1	1	0	0.6732	0.2856	0.6418	0.6775	0.3877	-0.0357
JuanDeTassisYPeralta_180	both	2	6		4	1	1		8	1	5	5	-2	2	1	1	0.6123	0.2530	0.5333	0.7052	0.3593	-0.1719
LopeDeVega_630	both	2	6		5	1			8		6	5	-3	1	1	0	0.6035	0.2529	0.5852	0.7090	0.3506	-0.1238
LopeDeVega_596	both	1	6	1	5	1		1	7		6	5	-4	1	0	1	0.6442	0.2994	0.5842	0.6454	0.3449	-0.0612
AntonioHurtadoDeMendoza_10	both	1	6		5	1			7		6	5	-4	1	0	1	0.6557	0.3219	0.5075	0.7674	0.3338	-0.2598
Quevedo_505	both	2	6		4	1	1		8	1	5	5	-2	2	1	1	0.6377	0.3083	0.5488	0.6548	0.3295	-0.1060
LopeDeVega_1333	both	1	6	1	4	1	1	1	7	2	4	5	-3	2	0	2	0.6407	0.3263	0.6161	0.7181	0.3144	-0.1020
GutierreDeCetina_241	both	1	7		4	2			8		6	5	-3	3	-1	4	0.7162	0.4055	0.6073	0.5225	0.3107	0.0848
s388g_0864	both	2	6		4	1	1		8	2	4	5	-2	2	1	1	0.6205	0.3315	0.5615	0.7309	0.2889	-0.1693
FernandoDeHerrera_246	both	2	6		4	1	1		8	1	5	5	-2	2	1	1	0.5311	0.2446	0.5603	0.6797	0.2865	-0.1194
PedroEspinosa_13	both	2	6		4	1	1	1	7	2	4	5	-2	2	1	1	0.5626	0.2818	0.5718	0.7050	0.2809	-0.1331
Quevedo_275	both	1	6	1	4	1	1	1	7	1	5	5	-3	2	0	2	0.6403	0.3665	0.5068	0.5153	0.2738	-0.0084
FernandoDeHerrera_283	both	1	6	1	5	1		1	7		6	5	-4	1	0	1	0.5399	0.2686	0.5550	0.6442	0.2714	-0.0892
DiegoHurtadoDeMendoza_1	both	2	6		5	1			8		6	5	-3	1	1	0	0.5913	0.3219	0.5265	0.7674	0.2694	-0.2408
s315g_0715	both	2	6		4	1	1		8	1	5	5	-2	2	1	1	0.5825	0.3146	0.5839	0.6930	0.2678	-0.1092
FernandoDeHerrera_286	both	2	6		4	1	1		8	1	5	5	-2	2	1	1	0.5820	0.3197	0.6060	0.6945	0.2624	-0.0885
LopeDeVega_1004	both	1	7		3	2	1		8	1	5	5	-2	4	-1	5	0.6285	0.3664	0.4521	0.6482	0.2621	-0.1961
Quevedo_373	both	1	7		3	2	1		8	1	5	5	-2	4	-1	5	0.6979	0.4459	0.5209	0.5617	0.2521	-0.0408
LopeDeVega_773	both	1	7		3	2	1		8	1	5	5	-2	4	-1	5	0.6422	0.3911	0.5160	0.6553	0.2511	-0.1394
s097g_0193	both	1	7		4	2		1	7		6	5	-3	3	-1	4	0.6767	0.4352	0.4809	0.6946	0.2414	-0.2137
s467g_0984	both	1	7		3	2	1		8	1	5	5	-2	4	-1	5	0.6352	0.3964	0.5551	0.6369	0.2388	-0.0817
s330g_0775	both	1	7		3	2	1		8	1	5	5	-2	4	-1	5	0.6430	0.4097	0.4603	0.7492	0.2333	-0.2889
s472g_0993	both	1	7		3	2	1		8	1	5	5	-2	4	-1	5	0.6430	0.4097	0.4603	0.7492	0.2333	-0.2889
LopeDeVega_928	both	2	6		5	1		1	7		6	5	-3	1	1	0	0.6325	0.4005	0.4166	0.6308	0.2320	-0.2141
FranciscoDeLaTorre_66	both	1	6	1	4	1	1	1	7	1	5	5	-3	2	0	2	0.6274	0.4038	0.3779	0.5979	0.2236	-0.2199
FernandoDeHerrera_273	both	1	7		4	2			8		6	5	-3	3	-1	4	0.5939	0.3732	0.5674	0.6617	0.2207	-0.0943
LopeDeVega_1312	both	2	6		5	1			8		6	5	-3	1	1	0	0.5277	0.3151	0.5945	0.7277	0.2126	-0.1332
LopeDeVega_1325	both	1	7		3	2	1		8	2	4	5	-2	4	-1	5	0.6204	0.4128	0.5320	0.5362	0.2076	-0.0042
s478g_1003	both	1	7		4	2			8		6	5	-3	3	-1	4	0.6446	0.4395	0.5121	0.6168	0.2051	-0.1047
ArgensolaLupercio_50	both	2	6		4	1	1		8	1	5	5	-2	2	1	1	0.5674	0.3687	0.6663	0.5721	0.1987	0.0942
LopeDeVega_768	both	1	7		4	2			8		6	5	-3	3	-1	4	0.5642	0.3684	0.5183	0.6158	0.1958	-0.0976
Gongora_41	both	1	6	1	4	1	1	2	6	2	4	5	-3	2	0	2	0.6257	0.4363	0.5232	0.5016	0.1894	0.0216
GutierreDeCetina_84	both	2	6		4	1	1		8	1	5	5	-2	2	1	1	0.5438	0.3613	0.5230	0.7989	0.1825	-0.2758
PedroSotoDeRojas_94	both	1	7		4	2			8	1	5	5	-3	3	-1	4	0.6033	0.4222	0.6170	0.6638	0.1811	-0.0468
JuanDeTassisYPeralta_169	both	1	7		3	2	1		8	2	4	5	-2	4	-1	5	0.6104	0.4305	0.4097	0.6844	0.1799	-0.2747
LopeDeZarate_19	both	1	7		4	2		1	7		6	5	-3	3	-1	4	0.6033	0.4289	0.5973	0.7206	0.1744	-0.1233
PantaleonDeRibera_8	both	1	7		3	2	1		8	1	5	5	-2	4	-1	5	0.6900	0.5223	0.5129	0.6074	0.1677	-0.0944
LopeDeVega_183	both	1	7		3	2	1		8	1	5	5	-2	4	-1	5	0.6330	0.4698	0.4858	0.5399	0.1632	-0.0540
LuisCarrilloySotomayor_44	both	1	7		3	2			8		5	5	-2	4	-1	5	0.6143	0.4611	0.4172	0.6068	0.1532	-0.1896
JuanBoscan_92	both	1	7		3	2	1		8	2	4	5	-2	4	-1	5	0.6181	0.4682	0.5789	0.5691	0.1499	0.0098
JosephDeLitalaYCastelvi_107	both	2	6		4	1	1	1	7	1	5	5	-2	2	1	1	0.5475	0.4000	0.5490	0.6252	0.1475	-0.0763
