SonnetID,octave_0,octave_1,octave_9,sestet_0,sestet_1,sestet_9,oct0_m_ses0,oct1_m_ses1,comment,
FernandoDeHerrera_167,1,7,,5,1,,-4,6,it’s fine,hope but more negative in sestet
JosephDeLitalaYCastelvi_45,1,7,,5,1,,-4,6,good example,
AntonioHurtadoDeMendoza_10,1,6,,5,1,,-4,5,,
FernandoDeHerrera_283,1,6,1,5,1,,-4,5,,
LopeDeVega_596,1,6,1,5,1,,-4,5,,
ArgensolaLupercio_15,1,7,,4,2,,-3,5,,
DiegoHurtadoDeMendoza_1,2,6,,5,1,,-3,5,,
FernandoDeHerrera_273,1,7,,4,2,,-3,5,,
GutierreDeCetina_241,1,7,,4,2,,-3,5,,
HernandodeAcunya_52,2,6,,5,1,,-3,5,,
LopeDeVega_1312,2,6,,5,1,,-3,5,,
LopeDeVega_630,2,6,,5,1,,-3,5,,
LopeDeVega_740,1,7,,4,2,,-3,5,,
LopeDeVega_768,1,7,,4,2,,-3,5,,
LopeDeVega_928,2,6,,5,1,,-3,5,,
LopeDeVega_960,2,6,,5,1,,-3,5,,
LopeDeZarate_19,1,7,,4,2,,-3,5,,
PedroSotoDeRojas_94,1,7,,4,2,,-3,5,,
s097g_0193,1,7,,4,2,,-3,5,,
s478g_1003,1,7,,4,2,,-3,5,,
FernandoDeHerrera_111,1,5,2,5,1,,-4,4,,
FernandoDeHerrera_254,1,5,2,5,1,,-4,4,,
GutierreDeCetina_166,1,5,2,5,1,,-4,4,,
BocangelYUnzueta_50,2,5,1,5,1,,-3,4,,
DiegoHurtadoDeMendoza_44,1,6,1,4,2,,-3,4,,
DiegoRamirezPagan_3,1,6,1,4,2,,-3,4,,
FcodeBorjaYAragonPrincipeEsquilache_29,2,5,1,5,1,,-3,4,,
FernandoDeHerrera_181,2,5,1,5,1,,-3,4,,
FranciscoDeAldana_5,1,6,1,4,2,,-3,4,,
FranciscoDeLaTorre_64,2,5,1,5,1,,-3,4,,
Gongora_23,1,6,1,4,2,,-3,4,,
GutierreDeCetina_184,1,6,,4,2,,-3,4,,
GutierreDeCetina_58,2,5,1,5,1,,-3,4,,
GutierreDeCetina_94,1,6,1,4,2,,-3,4,,
JuanBoscan_13,1,6,1,4,2,,-3,4,,
JuanDeArguijo_17,2,5,1,5,1,,-3,4,,
